abscissa (pl. abscissae)	úsečka; souřadnice
add	přičíst
addition	sčítání
adjacent	přilehlý
altitude	výška trojúhelníku
analogous	analogický, obdobný
acute angle	ostrý úhel
adjacent angle	přilehlý úhel
alternate angle	střídavý, protilehlý úhel
corresponding angle	shodný, souhlasný úhel
complementary angle	doplňkový úhel
exterior angle	vnější úhel
fixed angle	pevný, konstantní úhel
interior angle	vnitřní úhel
obtuse angle	tupý úhel [90°;180]
opposite angle	protilehlý úhel
reflex angle	tupý úhel [180°;360°]
supplementary angle	výplňkový úhel
angular	úhlový
annulus	mezikruží
apex (pl. apices)	vrchol trojúhelníku, špička
arc	oblouk
area	obsah
arithmetic mean	aritmetický průměr
arithmetic progression	aritmetická posloupnost
assertion	tvrzení
assignment	převedení; převod; připsání
assume	domnívat se
assumption	domněnka
asymptote	asymptota
average	průměr; průměrný; střední
axis (pl. axes)	osa
base	základna
braces	(složené) závorky
calculate	vypočítat
calculation	výpočet
calculus	integrální a diferenciální počet
cell	buňka
centre of gravity	těžiště (sousloví)
centroid	těžiště (1 slovo)
chord	tětiva
circle	kruh, kružnice
circumference	obvod kružnice
circumscribe	opsat (kružnici, křivku)
coefficient	součinitel, koeficient
(a pair of) compasses	kružítko
conclusion	závěr
cone	kužel
congruence	shoda
congruent	shodný; souhlasný
conic section	kuželosečka
conjectural	konjekturální
conjecture	dohad
consequence	důsledek, následek
constant	konstanta
continuity	spojitost
continuous	spojitý
converge	sbíhat se, konvergovat
convergence	konvergence
convex	konvexní
convexity	konvexita, vypuklina
coordinate	souřadnice (sg.)
corollary	důsledek; výsledná věta
cosec(ant)	kosekans
cosine	kosinus
cotangent	kotangens
counterexample	protipříklad
cube	krychle
curvature	zakřivení
curve	křivka
cylinder	válec
cylindrical	válcový, válcovitý
decagon	desetiúhelník
decimal point	desetinná tečka
deductive	deduktivní
definite	určitý; definitní
definition	definice
denominator	jmenovatel
reduce to a common denominator	převést na společného jmenovatele
derivation	odvození; derivace množiny
derivative	derivace (1., 2., ... řádu)
derive (from)	odvodit (z)
determine	určit
diagonal	úhlopříčka
diameter	průměr (kružnice)
difference	rozdíl
differential	diferenciální, diferenciál
to be differentiable	mít derivaci
differentiate	derivovat
differentiation	derivace (derivování)
dimension	rozměr
diminish from, subtract from	odečíst od
Diophantine approximation	diofantická aproximace
direction	směr
directrix	řídící přímka
discourse	výklad; přednáška; diskurz
distance	vzdálenost
distinct	odlišný
dividend	dělenec
divisibility	dělitelnost
division	dělení
divisor	dělitel
dodecahedron (pl. dodecahedra)	dvanáctistěn
domain	definiční obor
eccentricity	excentricita; výstřednost
ellipse	(geometrická) elipsa
ellipsis (pl. ellipses)	elipsa, výpustka (jazykověda)
equation	rovnice
equidistant (from)	stejně vzdálený (od)
equilateral	rovnostranný
evaluate	vyčíslit
evolution	odmocňování
example	příklad
experiment	pokus
exponent	mocnitel
expression	výraz, vyjádření
extremum (pl. extrema)	extrém
face	stěna, strana (geom.)
factor	činitel
factorial	faktoriál
factorization	rozkládání v součin
finite	konečný
focus	ohnisko
formula (pl. formulae; -as)	vzorec
decimal fraction	desetinné číslo
partial fraction	parciální zlomek
(im)proper fraction	(ne)pravý zlomek
vulgar fraction	obyčejný zlomek
friction	tření
bounded function	omezená funkce
convex function	funkce konvexní, vypuklá
rational function	racionální funkce
continuous function	spojitá funkce
differentiable function	funkce mající derivaci
geometry	geometrie
graph	graf, diagram
gravity	přitažlivost (zem.); gravitace
guesswork	hádání (ve snaze uhodnout)
heptagon	sedmiúhelník
hexagon	šestiúhelník
hexahedron	šestistěn
hold (for sth)	platit (pro něco)
honeycomb	plástev medu
hypothesis (pl. hypotheses)	hypotéza; předpoklad
hypothesize	formulovat předpoklad
hypothetical	hypotetický
